REGION,PROV_CODE,PROV_NAME,DIST_CODE,DIST_NAME,INC_DATE,INC_TYPE,Persons_killed,Persons_injured,Individuals_affected,Families_affected,Houses_damaged,Houses_destroyed
#adm1 +name +en,#adm2 +code,#adm2 +name +en,#adm3 +code,#adm3 +name +en,#cause+date,#cause +type,#affected +killed +num,#affected +injured +num,#affected +individual +num,#affected +family +num,#damaged+houses+num,#destroyed+houses+num
Capital,1,Kabul,107,Bagrami,02/04/2016,Flood / flash flood,0,0,1480,202,55,147
North Eastern,9,Baghlan,912,Dehsalah,14/05/2016,Flood / flash flood,1,0,152,38,34,4
North Eastern,16,Takhar,1615,Eshkmesh,17/04/2016,Flood / flash flood,0,0,42,9,9,0
Capital,8,Panjsher,806,Onaba(Anawa),11/04/2016,Flood / flash flood,0,0,47,5,2,3
South Eastern,12,Paktya,1202,Sayedkaram,31/03/2016,Flood / flash flood,0,0,48,5,5,0
South Eastern,12,Paktya,1206,Zadran,31/03/2016,Flood / flash flood,0,0,808,89,29,0
North Eastern,9,Baghlan,911,Pul-e- Hesar,11/05/2016,Flood / flash flood,0,0,9,2,2,0
Capital,8,Panjsher,803,Rukha,13/04/2016,Flood / flash flood,0,0,80,10,5,5
Capital,8,Panjsher,801,Bazarak,16/04/2016,Flood / flash flood,0,0,49,6,2,4
North Eastern,16,Takhar,1601,Taloqan,14/04/2016,Flood / flash flood,0,0,388,62,62,0
North Eastern,16,Takhar,1601,Taloqan,17/04/2016,Flood / flash flood,1,2,2542,369,306,63
North Eastern,16,Takhar,1601,Taloqan,18/04/2016,Flood / flash flood,6,6,1072,180,156,23
North Eastern,16,Takhar,1601,Taloqan,19/04/2016,Flood / flash flood,2,1,212,32,29,3
North Eastern,9,Baghlan,913,Khost Wa Fereng,11/05/2016,Flood / flash flood,0,0,314,80,67,13
North Eastern,16,Takhar,1606,Namakab,10/04/2016,Earthquake,0,0,259,37,37,0
Capital,8,Panjsher,804,Dara,12/04/2016,Flood / flash flood,0,0,59,9,5,4
South Eastern,12,Paktya,1208,Alikhel (Jaji),31/03/2016,Flood / flash flood,2,0,892,96,31,0
South Eastern,26,Khost,2605,Mandozayi,30/07/2016,Earthquake,1,0,98,8,6,2
South Eastern,26,Khost,2605,Mandozayi,31/07/2016,Flood / flash flood,1,7,98,14,8,5
South Eastern,12,Paktya,1210,Chamkani,31/03/2016,Flood / flash flood,0,0,113,13,13,0
North Eastern,16,Takhar,1609,Rostaq,10/04/2016,Earthquake,0,0,21,3,1,2
South Eastern,26,Khost,2602,Sabari,17/07/2016,Flood / flash flood,7,2,49,3,0,0
South Eastern,26,Khost,2601,Khost (Matun),02/07/2016,Flood / flash flood,0,0,55,5,1,5
South Eastern,26,Khost,2601,Khost (Matun),21/09/2016,Flood / flash flood,1,0,112,16,16,0
North Eastern,16,Takhar,1608,Kalafgan,11/06/2016,Flood / flash flood,0,0,126,19,5,14
Capital,8,Panjsher,807,Paryan,16/04/2016,Flood / flash flood,0,0,93,13,8,5
Eastern,7,Laghman,705,Dawlatshah,02/04/2016,Flood / flash flood,0,0,16,4,0,1
North Eastern,15,Badakhshan,1518,Keshem,18/05/2016,Flood / flash flood,0,0,335,58,6,10
Eastern,7,Laghman,701,Mehtarlam,31/01/2016,Flood / flash flood,0,0,62,10,8,2
Eastern,7,Laghman,701,Mehtarlam,02/04/2016,Flood / flash flood,1,1,34,5,0,0
Eastern,6,Nangarhar,604,Khogyani,03/04/2016,Flood / flash flood,0,0,17,2,0,2
North Eastern,15,Badakhshan,1509,Teshkan,13/05/2016,Flood / flash flood,0,0,1889,385,344,41
Eastern,7,Laghman,703,Qarghayi,02/04/2016,Flood / flash flood,0,0,56,6,6,0
Eastern,14,Nuristan,1403,Duab,13/03/2016,Flood / flash flood,0,0,7,1,1,0
North Eastern,15,Badakhshan,1519,Tagab,10/05/2016,Flood / flash flood,1,1,1708,244,144,100
North Eastern,15,Badakhshan,1519,Tagab,11/05/2016,Flood / flash flood,1,0,469,83,38,45
North Eastern,15,Badakhshan,1519,Tagab,03/06/2016,Flood / flash flood,0,0,1220,231,60,154
Eastern,6,Nangarhar,605,Chaparhar,03/04/2016,Flood / flash flood,0,0,40,7,2,5
Eastern,6,Nangarhar,605,Chaparhar,19/04/2016,Flood / flash flood,0,2,76,9,5,4
Eastern,7,Laghman,704,Alingar,02/04/2016,Flood / flash flood,0,2,100,17,0,3
North Eastern,15,Badakhshan,1510,Darayem,09/05/2016,Flood / flash flood,5,0,1909,404,53,37
Eastern,14,Nuristan,1404,Nurgeram,13/03/2016,Flood / flash flood,0,0,77,11,11,0
North Eastern,15,Badakhshan,1503,Argo,17/04/2016,Flood / flash flood,0,0,115,21,5,3
North Eastern,15,Badakhshan,1503,Argo,02/05/2016,Flood / flash flood,0,0,56,9,9,0
North Eastern,15,Badakhshan,1502,Yaftal-e-Sufla,17/04/2016,Flood / flash flood,0,0,57,5,1,1
North Eastern,15,Badakhshan,1502,Yaftal-e-Sufla,29/10/2016,Landslide / mudflow,0,0,168,24,8,8
Eastern,6,Nangarhar,601,Jalalabad,03/04/2016,Flood / flash flood,0,0,33,4,2,2
North Eastern,15,Badakhshan,1507,Yawan,05/04/2016,Flood / flash flood,0,0,21,3,0,3
North Eastern,15,Badakhshan,1507,Yawan,15/05/2016,Landslide / mudflow,0,0,826,118,0,85
North Eastern,15,Badakhshan,1516,Kofab,22/03/2016,Avalanche,2,1,0,0,0,0
Eastern,6,Nangarhar,606,Rodat,03/04/2016,Flood / flash flood,0,0,16,2,0,2
North Eastern,15,Badakhshan,1501,Fayzabad,27/04/2016,Flood / flash flood,0,0,21,2,0,1
North Eastern,15,Badakhshan,1505,Kohestan,10/04/2016,Earthquake,0,0,42,6,6,0
Eastern,13,Kunar,1313,Chapadara,13/03/2016,Flood / flash flood,0,0,42,6,6,0
Eastern,13,Kunar,1313,Chapadara,10/04/2016,Flood / flash flood,0,0,56,8,4,0
Eastern,13,Kunar,1314,Nurgal,10/04/2016,Flood / flash flood,0,0,7,1,1,0
Eastern,6,Nangarhar,616,Goshta,16/06/2016,Flood / flash flood,0,0,259,37,17,0
Eastern,6,Nangarhar,618,Shinwar,03/04/2016,Flood / flash flood,0,0,100,14,9,5
North Eastern,15,Badakhshan,1504,Arghanjkhwa,13/02/2016,Avalanche,3,0,21,3,0,0
North Eastern,15,Badakhshan,1504,Arghanjkhwa,12/05/2016,Flood / flash flood,0,0,323,54,0,23
North Eastern,15,Badakhshan,1512,Baharak,10/05/2016,Flood / flash flood,0,0,66,13,0,2
North Eastern,15,Badakhshan,1512,Baharak,11/05/2016,Flood / flash flood,1,0,1804,381,30,17
North Eastern,15,Badakhshan,1512,Baharak,12/05/2016,Flood / flash flood,0,0,478,92,28,1
North Eastern,15,Badakhshan,1512,Baharak,13/05/2016,Flood / flash flood,0,0,479,218,14,10
Eastern,13,Kunar,1309,Khaskunar,10/04/2016,Flood / flash flood,0,0,56,8,8,0
Eastern,13,Kunar,1309,Khaskunar,26/08/2016,Flood / flash flood,0,0,91,13,13,0
Eastern,13,Kunar,1307,Dara-e-Pech,13/03/2016,Flood / flash flood,0,0,56,8,4,4
Eastern,13,Kunar,1307,Dara-e-Pech,10/04/2016,Flood / flash flood,0,0,14,2,2,0
Eastern,13,Kunar,1307,Dara-e-Pech,26/08/2016,Flood / flash flood,0,0,98,14,12,0
Eastern,13,Kunar,1308,Chawkay,12/04/2016,Flood / flash flood,7,1,14,2,0,2
Eastern,14,Nuristan,1401,Poruns,10/04/2016,Earthquake,0,0,35,5,5,0
Eastern,14,Nuristan,1401,Poruns,10/04/2016,Flood / flash flood,0,0,177,25,25,0
Eastern,6,Nangarhar,622,Durbaba,03/04/2016,Flood / flash flood,2,0,161,24,22,2
North Eastern,15,Badakhshan,1515,Darwaz-e-Balla,12/05/2016,Flood / flash flood,0,0,34,4,4,0
Eastern,13,Kunar,1303,Narang,10/04/2016,Flood / flash flood,0,0,14,2,2,0
Eastern,13,Kunar,1303,Narang,14/08/2016,Flood / flash flood,0,0,49,7,7,0
Eastern,13,Kunar,1302,Watapur,13/03/2016,Flood / flash flood,0,0,15,2,2,0
Eastern,13,Kunar,1302,Watapur,16/07/2016,Flood / flash flood,0,0,42,6,4,2
Eastern,13,Kunar,1302,Watapur,14/08/2016,Flood / flash flood,0,0,9,1,0,0
Eastern,13,Kunar,1301,Asadabad,13/03/2016,Flood / flash flood,0,0,7,1,1,0
Eastern,13,Kunar,1301,Asadabad,10/04/2016,Earthquake,0,0,47,7,7,0
Eastern,13,Kunar,1301,Asadabad,10/04/2016,Flood / flash flood,0,0,394,56,32,0
