ISO3 Country Code,Country Name,Population,Tier,Grid Expenditure ($m/yr),Grid CO2 Emissions (t/yr),Offgrid Type,Lighting Type Description,Offgrid Expenditure ($m/yr),Offgrid Capital Costs ($m),Offgrid CO2 Emissions (t/yr),Nonsolid Expenditure ($m/yr),Nonsolid CO2 Emissions (t/yr),Solid Type,Cooking Type Description,Solid Expenditure ($m/yr),Solid Capital Costs ($m),Solid CO2_Emissions (t/yr),Info
#country+code,#country+name,#population+num,#indicator+tier,#indicator+value+grid+expenditure,#indicator+value+grid+co2_emissions,#indicator+type+offgrid,#indicator+text+lighting,#indicator+value+offgrid+expenditure,#indicator+value+offgrid+capital_costs,#indicator+value+offgrid+co2_emissions,#indicator+value+nonsolid+expenditure,#indicator+value+nonsolid+co2_emissions,#indicator+type+solid,#indicator+text+cooking,#indicator+value+solid+expenditure,#indicator+value+solid+capital_costs,#indicator+value+solid+co2_emissions,#meta+info
EST,Estonia,7981,Target 3,0.33478539362091564,1297.6281856746687,7,,0.0,0.0,0.0,0.03061129758459037,50.338578250215264,8,,0.13108632904459921,0.03958352967446196,116.26287169058448,ur(001)=0.531
ETH,Ethiopia,27342,Baseline,0.005864063599391861,0.07036876319270234,1,Torch dependent,0.1626740884492263,0.007156840031411618,47.37235460363976,0.0005813144756715716,0.9559393599932509,1,Firewood dependent,0.5023734137416378,0.007725440956977032,13787.247336486858,
ETH,Ethiopia,27342,Target 1,0.005864063599391861,0.07036876319270234,1,Solar dependent,0.04131463136979098,0.21127325417874898,100.42683569725844,0.0005813144756715716,0.9559393599932509,1,Firewood dependent,0.20280631868905405,0.2608901509041316,5365.968775884916,
ETH,Ethiopia,27342,Target 2,0.005864063599391861,0.07036876319270234,3,Solar dependent,0.007889099764565637,0.8516173624972528,30.128050709177536,0.0005813144756715716,0.9559393599932509,7,LPG II,0.4201112140321066,0.2597537017045429,5904.302616813868,
ETH,Ethiopia,27342,Target 3,0.005864063599391861,0.07036876319270234,7,,0.044361894332958215,2.4453732267363,169.41570545757216,0.0005813144756715716,0.9559393599932509,8,,1.3762682021622852,0.4155853140244277,1220.637533799468,
FIN,Finland,975,Baseline,0.08788159642108259,59.407959180651844,1,Torch dependent,0.0,0.0,0.0,0.020003344700381544,32.894389062849655,1,Firewood dependent,0.0009426710488533866,1.449628768275891e-05,25.87087324284876,ur(001)=0.531
FIN,Finland,975,Target 1,0.08788159642108259,59.407959180651844,1,Solar dependent,0.0,0.0,0.0,0.020003344700381544,32.894389062849655,1,Firewood dependent,0.0003805528714762466,0.000489543406281439,10.068891537081575,ur(001)=0.531
FIN,Finland,975,Target 2,0.08788159642108259,59.407959180651844,3,Solar dependent,0.0,0.0,0.0,0.020003344700381544,32.894389062849655,7,LPG II,0.000788311379412258,0.00048741093324516525,11.079039989568654,ur(001)=0.531
FIN,Finland,975,Target 3,0.08788159642108259,59.407959180651844,7,,0.0,0.0,0.0,0.020003344700381544,32.894389062849655,8,,0.002582477802663142,0.0007798188223012674,2.290446971878015,ur(001)=0.531
FRA,France,22081,Baseline,1.1712892859467767,299.8500572023748,1,Torch dependent,0.0,0.0,0.0,0.5825380091870035,957.9513928852946,1,Firewood dependent,0.02135231571169567,0.0003283534713687537,585.9976859271105,ur(001)=0.531
FRA,France,22081,Target 1,1.1712892859467767,299.8500572023748,1,Solar dependent,0.0,0.0,0.0,0.5825380091870035,957.9513928852946,1,Firewood dependent,0.008619852138916117,0.0110885821498544,228.0691140648624,ur(001)=0.531
FRA,France,22081,Target 2,1.1712892859467767,299.8500572023748,3,Solar dependent,0.0,0.0,0.0,0.5825380091870035,957.9513928852946,7,LPG II,0.017855935506671916,0.011040279788630323,250.94985141159674,ur(001)=0.531
FRA,France,22081,Target 3,1.1712892859467767,299.8500572023748,7,,0.0,0.0,0.0,0.5825380091870035,957.9513928852946,8,,0.05849535893563409,0.017663571732634255,51.88060768804104,ur(001)=0.531
GAB,Gabon,79,Baseline,0.0010703045632539554,1.892298467832993,1,Torch dependent,0.0003084759206235799,1.357138582113192e-05,0.08983133600300167,0.001526508972533285,2.510259199276957,1,Firewood dependent,0.0011446907558618706,1.760292365502491e-05,31.415146867175153,
GAB,Gabon,79,Target 1,0.0010703045632539554,1.892298467832993,1,Solar dependent,7.834418541092936e-05,0.0004006336362921797,0.19043758531152935,0.001526508972533285,2.510259199276957,1,Firewood dependent,0.00046210749192457823,0.0005944553112616597,12.226711617262891,
GAB,Gabon,79,Target 2,0.0010703045632539554,1.892298467832993,3,Solar dependent,1.495995665914074e-05,0.0016149065436279351,0.057131275593458805,0.001526508972533285,2.510259199276957,7,LPG II,0.0009572509411968557,0.0005918658372614596,13.453340563825538,
GAB,Gabon,79,Target 3,0.0010703045632539554,1.892298467832993,7,,8.412265484577452e-05,0.004637116854791401,0.32125992656433044,0.001526508972533285,2.510259199276957,8,,0.0031359173186899705,0.0009469383813379267,2.781302638592387,
GBR,United Kingdom of Great Britain and Northern Ireland,8253,Baseline,0.3258391690225205,651.6783380450412,1,Torch dependent,0.0,0.0,0.0,0.06925463015286917,113.88539180694039,1,Firewood dependent,0.007981093008301063,0.00012273233638809052,219.03488582607008,ur(001)=0.531
GBR,United Kingdom of Great Britain and Northern Ireland,8253,Target 1,0.3258391690225205,651.6783380450412,1,Solar dependent,0.0,0.0,0.0,0.06925463015286917,113.88539180694039,1,Firewood dependent,0.0032219381994623496,0.0041447029288584295,85.24793452147482,ur(001)=0.531
GBR,United Kingdom of Great Britain and Northern Ireland,8253,Target 2,0.3258391690225205,651.6783380450412,3,Solar dependent,0.0,0.0,0.0,0.06925463015286917,113.88539180694039,7,LPG II,0.006674212013028384,0.004126648416989315,93.80032271807539,ur(001)=0.531
GBR,United Kingdom of Great Britain and Northern Ireland,8253,Target 3,0.3258391690225205,651.6783380450412,7,,0.0,0.0,0.0,0.06925463015286917,113.88539180694039,8,,0.021864462221469066,0.006602310061373489,19.39199292836572,ur(001)=0.531
GEO,Georgia,37764,Baseline,1.1539014720827638,470.7918006097677,1,Torch dependent,0.0,0.0,0.0,0.05763691670203337,94.78070746556598,1,Firewood dependent,0.6208144218151,0.009546813246448835,17037.76861891179,ur(145)=0.274
GEO,Georgia,37764,Target 1,1.1539014720827638,470.7918006097677,1,Solar dependent,0.0,0.0,0.0,0.05763691670203337,94.78070746556598,1,Firewood dependent,0.25062052257037803,0.32239836695279056,6631.0650841728075,ur(145)=0.274
GEO,Georgia,37764,Target 2,1.1539014720827638,470.7918006097677,3,Solar dependent,0.0,0.0,0.0,0.05763691670203337,94.78070746556598,7,LPG II,0.5191578481330876,0.3209939852051376,7296.3180674281775,ur(145)=0.274
GEO,Georgia,37764,Target 3,1.1539014720827638,470.7918006097677,7,,0.0,0.0,0.0,0.05763691670203337,94.78070746556598,8,,1.700741171441237,0.5135649088580304,1508.418566873534,ur(145)=0.274
GHA,Ghana,794,Baseline,0.008302119802636062,8.20249436500443,1,Torch dependent,0.0019896673317307523,8.753533488135746e-05,0.5794114310432777,0.003826331572167352,6.292189696452978,1,Firewood dependent,0.014580805852788424,0.00022422196644902986,400.15886820211995,
GHA,Ghana,794,Target 1,0.008302119802636062,8.20249436500443,1,Solar dependent,0.0005053193974689374,0.002584083893847102,1.228320970603092,0.003826331572167352,6.292189696452978,1,Firewood dependent,0.005886218254464815,0.007572034138721649,155.7410221026153,
GHA,Ghana,794,Target 2,0.008302119802636062,8.20249436500443,3,Solar dependent,9.649160617992492e-05,0.010416134870946921,0.36849629118092764,0.003826331572167352,6.292189696452978,7,LPG II,0.01219324088581579,0.007539050018369132,171.36553765989697,
GHA,Ghana,794,Target 3,0.008302119802636062,8.20249436500443,7,,0.000542590481184887,0.029909368292817227,2.072124072398046,0.003826331572167352,6.292189696452978,8,,0.03994458884206524,0.012061881885685586,35.42758914011651,
GIN,Guinea,189,Baseline,1.3125749652828993e-05,0.026251499305657986,1,Torch dependent,0.001231180900242387,5.4165754587979796e-05,0.3585324420349514,0.00020432797541817632,0.33600600402100106,1,Firewood dependent,0.003476102581419095,5.3455108328959954e-05,95.39892985195466,
GIN,Guinea,189,Target 1,1.3125749652828993e-05,0.026251499305657986,1,Solar dependent,0.0003126852317289475,0.001598998327002262,0.7600694318372436,0.00020432797541817632,0.33600600402100106,1,Firewood dependent,0.0014032899604947678,0.0018051929147091823,37.12907053489213,
GIN,Guinea,189,Target 2,1.3125749652828993e-05,0.026251499305657986,3,Solar dependent,5.9707781631562733e-05,0.006445372099617884,0.2280208295511731,0.00020432797541817632,0.33600600402100106,7,LPG II,0.002906900794577376,0.001797329413400625,40.8539962633081,
GIN,Guinea,189,Target 3,1.3125749652828993e-05,0.026251499305657986,7,,0.00033574810544185915,0.01850753761353656,1.2822040851672272,0.00020432797541817632,0.33600600402100106,8,,0.009522895359111685,0.0028755844624037386,8.446030713718269,
GMB,Gambia,934,Baseline,0.00021184173889000392,0.4236834777800078,1,Torch dependent,0.005509009141026816,0.00024236863737656168,1.604279679888112,0.0010087709985899496,1.6588678643479173,1,Firewood dependent,0.01716158281842061,0.00026390885975539295,470.9862833721793,
GMB,Gambia,934,Target 1,0.00021184173889000392,0.4236834777800078,1,Solar dependent,0.0013991329783622603,0.007154835165334199,3.400986359504179,0.0010087709985899496,1.6588678643479173,1,Firewood dependent,0.006928068522493819,0.008912270850292444,183.30690882413535,
GMB,Gambia,934,Target 2,0.00021184173889000392,0.4236834777800078,3,Solar dependent,0.0002671668434215917,0.028840289682144686,1.0202959078512537,0.0010087709985899496,1.6588678643479173,7,LPG II,0.014351423055733378,0.008873448598707891,201.69693612723614,
GMB,Gambia,934,Target 3,0.00021184173889000392,0.4236834777800078,7,,0.0015023294965000608,0.08281333301288027,5.737316120204211,0.0010087709985899496,1.6588678643479173,8,,0.04701471074246322,0.014196813743844875,41.698210045696186,
GNB,Guinea-Bissau,85,Baseline,1.954761950234005e-05,0.039095239004680093,1,Torch dependent,0.0005559241083023677,2.445785896607012e-05,0.1618907734001644,6.59439217600023e-05,0.1084411157831149,1,Firewood dependent,0.0015701713800266423,2.4145916079407342e-05,43.09213144036637,"elap(011)=114,lpg(011)=114"
GNB,Guinea-Bissau,85,Target 1,1.954761950234005e-05,0.039095239004680093,1,Solar dependent,0.0001411890475185344,0.0007220073987020956,0.34319970449413223,6.59439217600023e-05,0.1084411157831149,1,Firewood dependent,0.0006338724713204742,0.0008154138676040117,16.771370394103258,"elap(011)=114,lpg(011)=114"
GNB,Guinea-Bissau,85,Target 2,1.954761950234005e-05,0.039095239004680093,3,Solar dependent,2.6960290933447858e-05,0.002910325961401453,0.10295991134823967,6.59439217600023e-05,0.1084411157831149,7,LPG II,0.0013130603385009265,0.0008118618882212692,18.453936323758853,"elap(011)=114,lpg(011)=114"
GNB,Guinea-Bissau,85,Target 3,1.954761950234005e-05,0.039095239004680093,7,,0.0001516027954098608,0.0083568436958795,0.5789629798252318,6.59439217600023e-05,0.1084411157831149,8,,0.004301535238859785,0.0012989146085189364,3.815110570210047,"elap(011)=114,lpg(011)=114"
GRC,Greece,5551,Baseline,0.20919926872904707,575.7163875423375,1,Torch dependent,0.0,0.0,0.0,0.014415847184365647,23.706059814290175,1,Firewood dependent,0.005368020123252335,8.254880012296583e-05,147.32113428395078,ur(001)=0.531
GRC,Greece,5551,Target 1,0.20919926872904707,575.7163875423375,1,Solar dependent,0.0,0.0,0.0,0.014415847184365647,23.706059814290175,1,Firewood dependent,0.0021670501863091268,0.002787694455367718,57.33708747674226,ur(001)=0.531
GRC,Greece,5551,Target 2,0.20919926872904707,575.7163875423375,3,Solar dependent,0.0,0.0,0.0,0.014415847184365647,23.706059814290175,7,LPG II,0.004489022287489343,0.002775551133277861,63.08935623159421,ur(001)=0.531
GRC,Greece,5551,Target 3,0.20919926872904707,575.7163875423375,7,,0.0,0.0,0.0,0.014415847184365647,23.706059814290175,8,,0.014705864606121251,0.004440661602682994,13.042901286974626,ur(001)=0.531
GTM,Guatemala,3434,Baseline,0.028181414594867886,30.77410473759573,1,Torch dependent,0.005859326534422667,0.00025778083712303657,1.706295679743865,0.025068824707074458,41.224289518300225,1,Firewood dependent,0.05445364469074541,0.0008373819263590793,1494.437896569478,"elap(013)=219,lpg(013)=219"
GTM,Guatemala,3434,Target 1,0.028181414594867886,30.77410473759573,1,Solar dependent,0.0014881037180083168,0.007609810486872633,3.617254774737609,0.025068824707074458,41.224289518300225,1,Firewood dependent,0.02198273817215044,0.028278605499523216,581.6322065441605,"elap(013)=219,lpg(013)=219"
GTM,Guatemala,3434,Target 2,0.028181414594867886,30.77410473759573,3,Solar dependent,0.00028415595884930813,0.030674241096563117,1.0851764324212827,0.025068824707074458,41.224289518300225,7,LPG II,0.045537017194279855,0.028155422625528004,639.9837014622917,"elap(013)=219,lpg(013)=219"
GTM,Guatemala,3434,Target 3,0.028181414594867886,30.77410473759573,7,,0.0015978624934080148,0.08807942537483406,6.1021515337724885,0.025068824707074458,41.224289518300225,8,,0.14917751941040788,0.04504644236650695,132.30828054107062,"elap(013)=219,lpg(013)=219"
HND,Honduras,23633,Baseline,0.19786464928113318,233.48028615173715,1,Torch dependent,0.03792338852263415,0.001668437965092866,11.043677736215228,0.1342026073679599,220.68873211620073,1,Firewood dependent,0.39308185930605816,0.006044767920161963,10787.825688016837,"elap(013)=219,lpg(013)=219"
HND,Honduras,23633,Target 1,0.19786464928113318,233.48028615173715,1,Solar dependent,0.009631471318156596,0.04925306653962101,23.412000918846957,0.1342026073679599,220.68873211620073,1,Firewood dependent,0.15868571594098874,0.20413338522084787,4198.599937232855,"elap(013)=219,lpg(013)=219"
HND,Honduras,23633,Target 2,0.19786464928113318,233.48028615173715,3,Solar dependent,0.0018391459778108702,0.1985332539341971,7.023600275654087,0.1342026073679599,220.68873211620073,7,LPG II,0.328715836885416,0.20324417103840522,4619.81901716719,"elap(013)=219,lpg(013)=219"
HND,Honduras,23633,Target 3,0.19786464928113318,233.48028615173715,7,,0.010341864340084569,0.5700775080065268,39.49502764178064,0.1342026073679599,220.68873211620073,8,,1.0768604568074875,0.3251745483908647,955.0873079669273,"elap(013)=219,lpg(013)=219"
HRV,Croatia,2104,Baseline,0.07250245317413438,85.55289474547858,1,Torch dependent,0.0,0.0,0.0,0.04529536923381044,74.48571829559938,1,Firewood dependent,0.007323985913179842,0.00011262741855822221,201.00109303532355,ur(001)=0.531
HRV,Croatia,2104,Target 1,0.07250245317413438,85.55289474547858,1,Solar dependent,0.0,0.0,0.0,0.04529536923381044,74.48571829559938,1,Firewood dependent,0.0029566664567691166,0.003803457224931677,78.22921884428278,ur(001)=0.531
HRV,Croatia,2104,Target 2,0.07250245317413438,85.55289474547858,3,Solar dependent,0.0,0.0,0.0,0.04529536923381044,74.48571829559938,7,LPG II,0.006124704312323388,0.0037868891946554726,86.07746351588345,ur(001)=0.531
HRV,Croatia,2104,Target 3,0.07250245317413438,85.55289474547858,7,,0.0,0.0,0.0,0.04529536923381044,74.48571829559938,8,,0.020064296098634273,0.006058722261932186,17.795392546874588,ur(001)=0.531
HTI,Haiti,274,Baseline,0.00042335101764741676,0.843315227153654,1,Torch dependent,0.0015359210800545411,6.757278664115109e-05,0.4472758921913919,0.0009322804085667137,1.5330833385319294,1,Firewood dependent,0.005029350681295295,7.734078013981237e-05,138.0266150401975,"elap(029)=180,lpg(029)=180"
HTI,Haiti,274,Target 1,0.00042335101764741676,0.843315227153654,1,Solar dependent,0.00039008064431447813,0.0019947801634440637,0.9482007578529436,0.0009322804085667137,1.5330833385319294,1,Firewood dependent,0.002030330565212484,0.0026118182656610913,53.71967938710469,"elap(029)=180,lpg(029)=180"
HTI,Haiti,274,Target 2,0.00042335101764741676,0.843315227153654,3,Solar dependent,7.448656849140199e-05,0.00804072161503605,0.28446022735588306,0.0009322804085667137,1.5330833385319294,7,LPG II,0.004205808991314956,0.002600441068142538,59.109036378501415,"elap(029)=180,lpg(029)=180"
HTI,Haiti,274,Target 3,0.00042335101764741676,0.843315227153654,7,,0.00041885200837261363,0.023088497518875387,1.599573452571167,0.0009322804085667137,1.5330833385319294,8,,0.013778068725089165,0.004160499391593979,12.220022087765482,"elap(029)=180,lpg(029)=180"
HUN,Hungary,660,Baseline,0.015485719568396157,19.202292264811238,1,Torch dependent,0.0,0.0,0.0,0.010652075303609457,17.51674605482444,1,Firewood dependent,0.0006378496114842559,9.808778446796103e-06,17.505286140675803,ur(001)=0.531
HUN,Hungary,660,Target 1,0.015485719568396157,19.202292264811238,1,Solar dependent,0.0,0.0,0.0,0.010652075303609457,17.51674605482444,1,Firewood dependent,0.00025749756663853425,0.00033124499991922426,6.813021957995311,ur(001)=0.531
HUN,Hungary,660,Target 2,0.015485719568396157,19.202292264811238,3,Solar dependent,0.0,0.0,0.0,0.010652075303609457,17.51674605482444,7,LPG II,0.0005334035745537474,0.00032980208184155304,7.496529528047478,ur(001)=0.531
HUN,Hungary,660,Target 3,0.015485719568396157,19.202292264811238,7,,0.0,0.0,0.0,0.010652075303609457,17.51674605482444,8,,0.001747409624066638,0.0005276571646471929,1.5498096742386593,ur(001)=0.531
IDN,Indonesia,1163,Baseline,0.019060583937580314,59.1640525422493,1,Torch dependent,0.0004499844375646161,1.9797047378445006e-05,0.13104006019424402,0.026660156754091995,43.84114666228461,1,Firewood dependent,0.01731933799853049,0.0002663348008905323,475.31575150742106,
IDN,Indonesia,1163,Target 1,0.019060583937580314,59.1640525422493,1,Solar dependent,0.00011428335844603445,0.0005844180678088977,0.27779785710451227,0.026660156754091995,43.84114666228461,1,Firewood dependent,0.006991753714538373,0.00899419551353894,184.9919290651529,
IDN,Indonesia,1163,Target 2,0.019060583937580314,59.1640525422493,3,Solar dependent,2.1822603429293094e-05,0.0023557197310080315,0.08333935713135368,0.026660156754091995,43.84114666228461,7,LPG II,0.014483346279421128,0.008955016394446548,203.55100383317125,
IDN,Indonesia,1163,Target 3,0.019060583937580314,59.1640525422493,7,,0.00012271261060084384,0.0067643218816127205,0.4686329068242021,0.026660156754091995,43.84114666228461,8,,0.04744688615655325,0.014327315745486754,42.0815143542567,
IND,India,28458,Baseline,0.18954321654008927,599.7147371328424,1,Torch dependent,0.057795205927361475,0.002542697779024106,16.830553751256456,0.2467100829817191,405.7010253477158,1,Firewood dependent,0.4733341820190562,0.0072788789694747365,12990.288223466014,
IND,India,28458,Target 1,0.18954321654008927,599.7147371328424,1,Solar dependent,0.014678352591939512,0.07506162381856984,35.67986582920332,0.2467100829817191,405.7010253477158,1,Firewood dependent,0.19108328653384538,0.24580963641229464,5055.793901107014,
IND,India,28458,Target 2,0.18954321654008927,599.7147371328424,3,Solar dependent,0.002802856618538123,0.30256447911314094,10.703959748760997,0.2467100829817191,405.7010253477158,7,LPG II,0.3958270728736982,0.24473887861027022,5563.009850994695,
IND,India,28458,Target 3,0.18954321654008927,599.7147371328424,7,,0.01576099084213657,0.868797548249935,60.190382362620035,0.2467100829817191,405.7010253477158,8,,1.2967142883965277,0.39156278834064673,1150.0797072431587,
IRL,Ireland,1095,Baseline,0.04247501601296735,75.09582831092627,1,Torch dependent,0.0,0.0,0.0,0.010304480732517114,16.945146093472587,1,Firewood dependent,0.001058741549887558,1.6281206585826874e-05,29.056337804576298,ur(001)=0.531
