ISO3 Country Code,Country Name,Population,Tier,Grid Expenditure ($m/yr),Grid CO2 Emissions (t/yr),Offgrid Type,Lighting Type Description,Offgrid Expenditure ($m/yr),Offgrid Capital Costs ($m),Offgrid CO2 Emissions (t/yr),Nonsolid Expenditure ($m/yr),Nonsolid CO2 Emissions (t/yr),Solid Type,Cooking Type Description,Solid Expenditure ($m/yr),Solid Capital Costs ($m),Solid CO2_Emissions (t/yr),Info
#country+code,#country+name,#population+num,#indicator+tier,#indicator+value+grid+expenditure,#indicator+value+grid+co2_emissions,#indicator+type+offgrid,#indicator+text+lighting,#indicator+value+offgrid+expenditure,#indicator+value+offgrid+capital_costs,#indicator+value+offgrid+co2_emissions,#indicator+value+nonsolid+expenditure,#indicator+value+nonsolid+co2_emissions,#indicator+type+solid,#indicator+text+cooking,#indicator+value+solid+expenditure,#indicator+value+solid+capital_costs,#indicator+value+solid+co2_emissions,#meta+info
MYS,Malaysia,96627,Baseline,1.7094040805531514,4690.604797037848,1,Torch dependent,0.0,0.0,0.0,4.397060924784593,7230.722409645773,2,Firewood/charcoal mix,0.08076514318239736,0.005577063512469596,2770.6640122437175,ur(035)=0.565
MYS,Malaysia,96627,Target 1,1.7094040805531514,4690.604797037848,1,Solar dependent,0.0,0.0,0.0,4.397060924784593,7230.722409645773,2,Firewood/charcoal mix,0.04219970271438829,0.04877016525619595,1532.6296941542569,ur(035)=0.565
MYS,Malaysia,96627,Target 2,1.7094040805531514,4690.604797037848,3,Solar dependent,0.0,0.0,0.0,4.397060924784593,7230.722409645773,7,LPG II,0.07813973945072726,0.04831360338551622,1098.1869864602654,ur(035)=0.565
MYS,Malaysia,96627,Target 3,1.7094040805531514,4690.604797037848,7,,0.0,0.0,0.0,4.397060924784593,7230.722409645773,8,,0.2559827853656462,0.07729793224452151,227.0358316300011,ur(035)=0.565
NER,Niger,30718,Baseline,0.028751167533709144,7.705312899034051,1,Torch dependent,0.09682572999723102,0.0042598441283482206,28.19664065686008,0.03981097442400676,65.46693571947777,2,Firewood/charcoal mix,0.48270322147908656,0.033332034313154985,16559.228296368576,
NER,Niger,30718,Target 1,0.028751167533709144,7.705312899034051,1,Solar dependent,0.024591005120001574,0.1257525845680877,59.77535679097439,0.03981097442400676,65.46693571947777,2,Firewood/charcoal mix,0.2522119276095653,0.2914811384419615,9159.957644500362,
NER,Niger,30718,Target 2,0.028751167533709144,7.705312899034051,3,Solar dependent,0.004695694630945905,0.5068937136097731,17.932607037292318,0.03981097442400676,65.46693571947777,7,LPG II,0.4670121598524345,0.28875243795190086,6563.45516473144,
NER,Niger,30718,Target 3,0.028751167533709144,7.705312899034051,7,,0.026404775608681978,1.4555179011704042,100.83842798999449,0.03981097442400676,65.46693571947777,8,,1.5299138993678838,0.46198099127786574,1356.9087232531547,
NGA,Nigeria,560280,Baseline,1.9467812458550176,3145.998493301708,1,Torch dependent,0.8204340854097343,0.036094964856235486,238.91877799010135,0.15927962135960663,261.9264884580198,2,Firewood/charcoal mix,4.308418216017432,0.29750856721377184,147801.1284379976,
NGA,Nigeria,560280,Target 1,1.9467812458550176,3145.998493301708,1,Solar dependent,0.20836712303136312,1.06554018968904,506.49491803724186,0.15927962135960663,261.9264884580198,2,Firewood/charcoal mix,2.2511440049649645,2.60164546372984,81758.16240170533,
NGA,Nigeria,560280,Target 2,1.9467812458550176,3145.998493301708,3,Solar dependent,0.03978805974417829,4.295065788166751,151.94847541117255,0.15927962135960663,261.9264884580198,7,LPG II,4.168366000219555,2.577290161394361,58582.807268394834,
NGA,Nigeria,560280,Target 3,1.9467812458550176,3145.998493301708,7,,0.2237357562662092,12.333049263644972,854.4349053138294,0.15927962135960663,261.9264884580198,8,,13.655406924315365,4.123459777575947,12111.231084854351,
NIC,Nicaragua,64,Baseline,0.0006899403731741046,1.1315022120055314,1,Torch dependent,6.89960310141787e-06,3.0354776318596934e-07,0.0020092348318076257,0.0018405245391896257,3.026640353334052,2,Firewood/charcoal mix,0.0003098293306068435,2.1394599040306138e-05,10.62875570357481,"elap(013)=219,lpg(013)=219"
NIC,Nicaragua,64,Target 1,0.0006899403731741046,1.1315022120055314,1,Solar dependent,1.752304632227381e-06,8.96087148036068e-06,0.004259469431474063,0.0018405245391896257,3.026640353334052,2,Firewood/charcoal mix,0.00016188550070764108,0.00018709095359104892,5.879437756156647,"elap(013)=219,lpg(013)=219"
NIC,Nicaragua,64,Target 2,0.0006899403731741046,1.1315022120055314,3,Solar dependent,3.346055768431813e-07,3.612020729005843e-05,0.001277840829442219,0.0018405245391896257,3.026640353334052,7,LPG II,0.00029975781895336893,0.0001853395017493324,4.212838923936779,"elap(013)=219,lpg(013)=219"
NIC,Nicaragua,64,Target 3,0.0006899403731741046,1.1315022120055314,7,,1.8815502004179581e-06,0.00010371722294654265,0.007185539737441332,0.0018405245391896257,3.026640353334052,8,,0.0009819951022386,0.00029652849807406675,0.8709494834774498,"elap(013)=219,lpg(013)=219"
